id,AGE,ANNUAL HOURS WORKED,LABOR INCOME,Year,Unilateral Divorce Year,Equitable Distribution Year,Equitable Distribution,HOUSEWORK HOURS,STATE,worked,f_id,f_year,f_state,Treatment Year,year_before_treat,age_control,ann_hrs_work_control,labor_inc_control,treat_dummy 10,treat_dummy 9,treat_dummy 8,treat_dummy 7,treat_dummy 6,treat_dummy 5,treat_dummy 4,treat_dummy 3,treat_dummy 2,treat_dummy 1,treat_dummy 0,treat_dummy -2,treat_dummy -3,treat_dummy -4,treat_dummy -5,highearning,Has Equitable Distribution
12,49,1332,3300,1968,1970,1967,community property,,4,TRUE,12,1968,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,50,1355,2700,1969,1970,1967,community property,1560,4,TRUE,12,1969,4,1970,TRUE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,52,1260,3737,1970,1970,1967,community property,2080,4,TRUE,12,1970,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,53,1225,4000,1971,1970,1967,community property,1820,4,TRUE,12,1971,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,54,1260,3900,1972,1970,1967,community property,832,4,TRUE,12,1972,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,55,1260,4500,1973,1970,1967,community property,1820,4,TRUE,12,1973,4,1970,FALSE,50,1355,2700,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,56,1260,4200,1974,1970,1967,community property,624,4,TRUE,12,1974,4,1970,FALSE,50,1355,2700,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,57,990,3500,1975,1970,1967,community property,,4,TRUE,12,1975,4,1970,FALSE,50,1355,2700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,58,1050,7000,1976,1970,1967,community property,416,4,TRUE,12,1976,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,58,1260,7000,1977,1970,1967,community property,1872,4,TRUE,12,1977,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,60,1600,8880,1978,1970,1967,community property,1352,4,TRUE,12,1978,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,61,293,7000,1979,1970,1967,community property,832,4,TRUE,12,1979,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,62,602,5000,1980,1970,1967,community property,3640,4,TRUE,12,1980,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,63,1529,11238,1981,1970,1967,community property,2080,4,TRUE,12,1981,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,63,1351,10808,1982,1970,1967,community property,,4,TRUE,12,1982,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,65,1480,11000,1983,1970,1967,community property,624,4,TRUE,12,1983,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,65,1040,7729,1984,1970,1967,community property,1300,4,TRUE,12,1984,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,66,0,0,1985,1970,1967,community property,1456,4,TRUE,12,1985,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,67,0,0,1986,1970,1967,community property,1456,4,TRUE,12,1986,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,68,0,0,1987,1970,1967,community property,1456,4,TRUE,12,1987,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,70,0,0,1988,1970,1967,community property,1456,4,TRUE,12,1988,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12,71,0,0,1989,1970,1967,community property,780,4,TRUE,12,1989,4,1970,FALSE,50,1355,2700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
