family,Year,FAMILY NUMBER,STATE,person,AGE,OCCUPATION,INDUSTRY,INDIVIDUAL WEIGHT,FAMILY WEIGHT,RENT/OWN STATUS,RACE,ANNUAL HOURS WORKED,LABOR INCOME,CHILDREN COUNT,YEARS WORKED FULL-TIME SINCE 18,EDUCATION,HOUSE VALUE,LEISURE HOURS,HOUSEWORK HOURS,HAS DISABILITY,DISABILITY LIMITING WORK,haschild,HOUSEHOLD HOUSEWORK HOURS,Unilateral Divorce,Equitable Distribution,State,person_husband,AGE_husband,OCCUPATION_husband,INDUSTRY_husband,RACE_husband,ANNUAL HOURS WORKED_husband,LABOR INCOME_husband,HOUSEWORK HOURS_husband,Unilateral Divorce Year,id,hasHighSchool,worked,highearning,Equitable Distribution Year,Has Equitable Distribution,hw_ratio,husband_dif,Treatment Year
11,1968,11,4,11_2,49,912,857,26,26,8,1,1332,3300,1,,4,0,3136,,,,TRUE,1800,1970,community property,California,11_1,57,415,27,1,2144,8000,,1970,2,1,TRUE,TRUE,1967,TRUE,,,1970
11,1969,4227,4,11_2,50,912,857,28.1000003814697,28,1,1,1355,2700,1,,,18000,3104,1560,5,5,TRUE,1560,1970,community property,California,11_1,58,415,27,1,2272,8000,0,1970,2,1,TRUE,TRUE,1967,TRUE,1,-1560,1970
11,1970,323,4,11_2,52,912,857,28.1000003814697,28,1,1,1260,3737,1,,,20000,2994,2080,5,5,TRUE,2080,1970,community property,California,11_1,59,415,27,1,2000,10347,0,1970,2,1,TRUE,TRUE,1967,TRUE,1,-2080,1970
11,1971,2138,4,11_2,53,912,857,28.1000003814697,28,1,1,1225,4000,0,,,20000,3222,1820,5,5,FALSE,1820,1970,community property,California,11_1,60,415,27,1,1982,12000,0,1970,2,1,TRUE,TRUE,1967,TRUE,1,-1820,1970
11,1972,2448,4,11_2,54,912,857,28.1000003814697,28,1,1,1260,3900,0,,4,20000,3754,832,5,5,FALSE,832,1970,community property,California,11_1,61,415,27,1,1840,14000,0,1970,2,1,TRUE,TRUE,1967,TRUE,1,-832,1970
11,1973,1679,4,11_2,55,912,857,28.1000003814697,28,1,1,1260,4500,0,,4,25500,,1820,,5,FALSE,1820,1970,community property,California,11_1,61,415,27,1,2171,13350,0,1970,2,1,TRUE,TRUE,1967,TRUE,1,-1820,1970
11,1974,2315,4,11_2,56,912,857,30.8999996185303,31,1,1,1260,4200,0,15,4,25000,,624,,5,FALSE,624,1970,community property,California,11_1,62,470,759,1,1360,10500,0,1970,2,1,TRUE,TRUE,1967,TRUE,1,-624,1970
11,1975,1584,4,11_2,57,912,857,30.8999996185303,31,1,1,990,3500,0,16,4,25000,,,,5,FALSE,,1970,community property,California,11_1,64,415,67,1,420,2100,,1970,2,1,TRUE,TRUE,1967,TRUE,,,1970
11,1976,4196,4,11_2,58,912,857,30.8999996185303,31,1,1,1050,7000,0,29,4,35000,,416,5,5,FALSE,,1970,community property,California,11_1,65,415,67,1,114,1000,208,1970,2,1,TRUE,TRUE,1967,TRUE,,-208,1970
11,1977,1286,4,11_2,58,912,857,30.8999996185303,31,1,1,1260,7000,0,29,4,35000,,1872,5,1,FALSE,,1970,community property,California,11_1,65,415,67,1,420,1700,780,1970,2,1,TRUE,TRUE,1967,TRUE,,-1092,1970
11,1978,4627,4,11_2,60,912,857,30.8999996185303,31,1,1,1600,8880,0,29,4,50000,,1352,5,1,FALSE,,1970,community property,California,11_1,66,415,67,1,400,1620,52,1970,2,1,TRUE,TRUE,1967,TRUE,,-1300,1970
11,1979,4412,4,11_2,61,912,857,33.0999984741211,33,1,1,293,7000,0,29,4,55000,,832,,5,FALSE,,1970,community property,California,11_1,67,0,0,1,0,0,0,1970,2,1,TRUE,TRUE,1967,TRUE,,-832,1970
11,1980,4949,4,11_2,62,912,857,33.0999984741211,33,1,1,602,5000,0,29,4,65000,,3640,,1,FALSE,,1970,community property,California,11_1,68,0,0,1,0,0,520,1970,2,1,TRUE,TRUE,1967,TRUE,,-3120,1970
11,1981,5770,4,11_2,63,230,857,33.0999984741211,33,1,1,1529,11238,0,29,4,75000,,2080,,1,FALSE,,1970,community property,California,11_1,69,0,0,1,40,400,0,1970,2,1,TRUE,TRUE,1967,TRUE,,-2080,1970
